Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Beverage - Coffee,5888.0,37200.21,697.46,0.00,37897.67,3632.22
Beverage - Other,16689.0,123771.45,2130.05,0.00,125901.50,12076.31
Fees,4.0,268.60,0.00,0.00,268.60,15.09
Food - Donuts,19681.0,96180.99,5879.55,0.00,102060.54,9321.83
Food - Other,15877.0,132488.68,2977.50,12.50,135478.68,12890.38
No Sales Category Assigned,8.0,18.00,0.00,0.00,18.00,0.74
Retail,35.0,1013.76,0.00,0.00,1013.76,98.81
Total,58182.0,390941.69,11684.56,12.50,402638.75,38035.38
